"date","book_title","author","publisher","category","this_week_position","last_week_position","total_weeks","full_text"
2025-08-10,"THE WEDDING PEOPLE","Alison Espach","Holt.","Fiction",9,6,34,"9      THE WEDDING PEOPLE, by Alison Espach. (Holt.) A woman who is down on her luck                6       34 forms an unexpected bond with the bride at a wedding in Rhode Island."
2025-08-10,"MY FRIENDS","Fredrik Backman","Atria.","Fiction",10,11,12,"10      MY FRIENDS, by Fredrik Backman. (Atria.) A young woman looks into the story behind           11      12 a painting that was made 25 years ago and a small group of teens depicted in it; translated by Neil Smith."
2025-08-10,"BROKEN COUNTRY","Clare Leslie Hall","Simon & Schuster.","Fiction",11,12,18,"11      BROKEN COUNTRY, by Clare Leslie Hall. (Simon & Schuster.) Beth must confront her             12      18 past when the man she once loved as a teenager returns to the village with his son."
2025-08-10,"GREAT BIG BEAUTIFUL LIFE","Emily Henry","Berkley.","Fiction",12,14,14,"12      GREAT BIG BEAUTIFUL LIFE, by Emily Henry. (Berkley.) A writer looking for her big            14      14 break competes against a Pulitzer winner to tell the story of an octogenarian with a storied past."
2025-08-10,"ROSE IN CHAINS","Julie Soto","Forever.","Fiction",13,5,3,"13      ROSE IN CHAINS, by Julie Soto. (Forever.) After the dark forces win the war,                 5        3 Evermore's princess, Briony Rosewood, is auctioned off to a member of a family known for its viciousness."
2025-08-10,"THE WOMAN IN SUITE 11","Ruth Ware","Gallery/Scout.","Fiction",14,10,3,"14      THE WOMAN IN SUITE 11, by Ruth Ware. (Gallery/Scout.) The second book in the Lo              10       3 Blacklock series. Blacklock attends the opening of a luxury Swiss hotel and gets swept up in a dangerous pursuit across Europe."
2025-08-10,"JAMES","Percival Everett","Doubleday.","Fiction",15,NA,50,"15      JAMES, by Percival Everett. (Doubleday.) A reimagining of “Adventures of Huckleberry         --      50 Finn” shines a different light on Mark Twain's classic, revealing new facets of the character of Jim. Hawes Publications                                                                                    www.hawes.com"
2025-08-10,"THE IDAHO FOUR","James Patterson and Vicky Ward","Little, Brown.","Nonfiction",1,1,2,"1       THE IDAHO FOUR, by James Patterson and Vicky Ward. (Little, Brown.)                         1        2 Investigations into the murders of four University of Idaho students on Nov. 13, 2022."
2025-08-10,"THE ANXIOUS GENERATION","Jonathan Haidt","Penguin Press.","Nonfiction",2,5,70,"2       THE ANXIOUS GENERATION, by Jonathan Haidt. (Penguin Press.) A co-author of                  5       70 “The Coddling of the American Mind” looks at the mental health impacts that a phone- based life has on children."
2025-08-10,"EVERYTHING IS TUBERCULOSIS","John Green","Crash Course.","Nonfiction",3,8,19,"3       EVERYTHING IS TUBERCULOSIS, by John Green. (Crash Course.) The author of                    8       19 “The Anthropocene Reviewed” chronicles the fight against the deadly infectious disease tuberculosis."
2025-08-10,"OUTLIVE","Peter Attia with Bill Gifford","Harmony.","Nonfiction",4,13,110,"4       OUTLIVE, by Peter Attia with Bill Gifford. (Harmony.) A look at recent scientific           13      110 research on aging and longevity."
2025-08-10,"ABUNDANCE","Ezra Klein and Derek Thompson","Avid Reader.","Nonfiction",5,10,19,"5       ABUNDANCE, by Ezra Klein and Derek Thompson. (Avid Reader.) A New York                      10      19 Times opinion columnist and a staff writer at The Atlantic evaluate obstacles to American progress."
2025-08-10,"MY GOOD SIDE","Scheana Shay","Grand Central.","Nonfiction",6,NA,1,"6       MY GOOD SIDE, by Scheana Shay. (Grand Central.) The actress and star of the                 --       1 reality TV series “Vanderpump Rules” shares behind-the-scenes stories and struggles she experienced in her life."
2025-08-10,"BUTLER","Salena Zito","Center Street.","Nonfiction",7,4,3,"7       BUTLER, by Salena Zito. (Center Street.) A firsthand account of the attempted               4        3 assassination of Donald Trump during an open-air campaign rally in Pennsylvania on July 13, 2024."
2025-08-10,"BLACK AF HISTORY","Michael Harriot","Dey Street.","Nonfiction",8,11,9,"8       BLACK AF HISTORY, by Michael Harriot. (Dey Street.) A columnist at TheGrio.com              11       9 articulates moments in American history that center the perspectives and experiences of Black Americans."
2025-08-10,"A MARRIAGE AT SEA","Sophie Elmhirst","Riverhead.","Nonfiction",9,12,3,"9       A MARRIAGE AT SEA, by Sophie Elmhirst. (Riverhead.) In 1972, an incident with a             12       3 breaching whale turns a couple’s dream of sailing on a boat into a monthslong struggle for survival on a raft."
2025-08-10,"MARK TWAIN","Ron Chernow","Penguin Press.","Nonfiction",10,7,11,"10       MARK TWAIN, by Ron Chernow. (Penguin Press.) The Pulitzer Prize-winning                     7       11 biographer portrays the life and career of the literary celebrity and political pundit."
2025-08-10,"WHO IS GOVERNMENT?","Michael Lewis","Riverhead.","Nonfiction",11,NA,8,"11       WHO IS GOVERNMENT?, by Michael Lewis. (Riverhead.) Essays by Casey Cep,                     --       8 Dave Eggers, John Lanchester, Geraldine Brooks, Sarah Vowell, W. Kamau Bell and Michael Lewis illuminate the work of federal employees and the business of government."
2025-08-10,"THE MISSION","Tim Weiner","Mariner.","Nonfiction",12,3,2,"12       THE MISSION, by Tim Weiner. (Mariner.) The author of “Legacy of Ashes” chronicles           3        2 changes and struggles at the Central Intelligence Agency in the 21st century."
